receptor	esm_iptm	esm_pae	esm_dG	af3_iptm	af3_pae	af3_dG
IL7R	0.91	7.46	-9.0	0.68	2.67	-7.47
CRLF2	0.279	21.98	-10.3	0.29	12.91	-9.22
IL4R	0.215	23.49	-11.43	0.24	13.24	-10.94
IL21R	0.206	22.95	-9.07	0.24	11.76	-9.77
IL2RA	0.096	28.91	-7.79	0.19	13.56	-9.21
IL15RA	0.066	30.82	-8.86	0.42	10.61	-10.61
