query	target	pident	alnlen	evalue	bits	taxid	species	desc	genus
078_038_456	A0AAW6DKT9	97.1	70	3.2860000000000003e-34	134	33038	Mediterraneibacter gnavus	tr|A0AAW6DKT9|A0AAW6DKT9_MEDGN Uncharacterized protein OS=Mediterraneibacter gnavus OX=33038 GN=PNW85_19055 PE=4 SV=1	Mediterraneibacter
078_038_456	A0A414QSS3	97.1	70	3.2860000000000003e-34	134	410072	Coprococcus comes	tr|A0A414QSS3|A0A414QSS3_9FIRM Conjugal transfer protein OS=Coprococcus comes OX=410072 GN=DW656_07520 PE=4 SV=1	Coprococcus
078_038_456	A0A4P9EAQ4	95.7	70	4.5110000000000005e-34	134	2479767	Blautia sp. SC05B48	tr|A0A4P9EAQ4|A0A4P9EAQ4_9FIRM Conjugal transfer protein OS=Blautia sp. SC05B48 OX=2479767 GN=EYS05_04920 PE=4 SV=1	Blautia
078_038_456	A0A1C6CYE5	97.1	70	8.5e-34	133	765821	uncultured Blautia sp.	tr|A0A1C6CYE5|A0A1C6CYE5_9FIRM Conjugal transfer protein OS=uncultured Blautia sp. OX=765821 GN=SAMEA3545328_03406 PE=4 SV=1	uncultured
078_038_456	V8C5F7	97.1	70	8.5e-34	133	1073376	[Ruminococcus] lactaris CC59_002D	tr|V8C5F7|V8C5F7_9FIRM Conjugal transfer protein OS=[Ruminococcus] lactaris CC59_002D OX=1073376 GN=HMPREF1202_01249 PE=4 SV=1	[Ruminococcus]
078_038_456	A5ZV53	97.1	70	8.5e-34	133	411459	Blautia obeum ATCC 29174	tr|A5ZV53|A5ZV53_9FIRM Conjugal transfer protein OS=Blautia obeum ATCC 29174 OX=411459 GN=RUMOBE_02888 PE=4 SV=1	Blautia
078_038_456	A0A810PU40	97.1	70	8.5e-34	133	2714353	Vescimonas fastidiosa	tr|A0A810PU40|A0A810PU40_9FIRM Conjugal transfer protein OS=Vescimonas fastidiosa OX=2714353 GN=MM35RIKEN_00270 PE=4 SV=1	Vescimonas
078_038_456	A0AAX1U1I0	94.2	70	1.167e-33	132	2292277	Absiella sp. AM27-20	tr|A0AAX1U1I0|A0AAX1U1I0_9FIRM Uncharacterized protein OS=Absiella sp. AM27-20 OX=2292277 GN=DW716_22435 PE=4 SV=1	Absiella
078_038_456	A0AAV0SLA0	94.2	70	1.167e-33	132	137838	Clostridium neonatale	tr|A0AAV0SLA0|A0AAV0SLA0_9CLOT Uncharacterized protein OS=Clostridium neonatale OX=137838 GN=CNEO4_570065 PE=4 SV=1	Clostridium
078_038_456	A0A7G9GN00	94.2	70	1.167e-33	132	2764325	[Eubacterium] hominis	tr|A0A7G9GN00|A0A7G9GN00_9FIRM Conjugal transfer protein OS=[Eubacterium] hominis OX=2764325 GN=H9Q80_18390 PE=4 SV=1	[Eubacterium]
078_038_456	A0A3E5GAH8	94.2	70	1.167e-33	132	88431	Dorea longicatena	tr|A0A3E5GAH8|A0A3E5GAH8_9FIRM Conjugal transfer protein OS=Dorea longicatena OX=88431 GN=DXB16_10420 PE=4 SV=1	Dorea
078_038_456	A0AAJ1F2J4	94.2	70	1.167e-33	132	33038	Mediterraneibacter gnavus	tr|A0AAJ1F2J4|A0AAJ1F2J4_MEDGN Conjugal transfer protein OS=Mediterraneibacter gnavus OX=33038 GN=LIQ10_18515 PE=4 SV=1	Mediterraneibacter
078_038_456	A0AB37KIZ0	94.2	70	1.167e-33	132	2291994	Absiella sp. AM09-50	tr|A0AB37KIZ0|A0AB37KIZ0_9FIRM Uncharacterized protein OS=Absiella sp. AM09-50 OX=2291994 GN=DW114_19150 PE=4 SV=1	Absiella
078_038_456	Q18DA8	95.7	70	1.602e-33	132	272563	Clostridioides difficile 630	tr|Q18DA8|Q18DA8_CLOD6 Conjugative transposon protein Tn916-like, CTn1-Orf14 OS=Clostridioides difficile (strain 630) OX=272563 GN=CD630_03690 PE=4 SV=2	Clostridioides
078_038_456	A0A174U3S9	94.2	70	1.602e-33	132	418240	Blautia wexlerae	tr|A0A174U3S9|A0A174U3S9_9FIRM Conjugal transfer protein OS=Blautia wexlerae OX=418240 GN=ERS852523_04133 PE=4 SV=1	Blautia
078_038_456	A0A381I4R5	95.7	70	1.602e-33	132	1496	Clostridioides difficile	tr|A0A381I4R5|A0A381I4R5_CLODI Conjugal transfer protein OS=Clostridioides difficile OX=1496 GN=NCTC13307_00396 PE=4 SV=1	Clostridioides
078_038_456	A0A6N4TJL9	95.7	70	1.602e-33	132	2583452	Amedibacterium intestinale	tr|A0A6N4TJL9|A0A6N4TJL9_9FIRM Conjugal transfer protein OS=Amedibacterium intestinale OX=2583452 GN=Aargi30884_23090 PE=4 SV=1	Amedibacterium
