peptide	receptor	uniprot	iptm	iface_pae	plen	rlen
078_038_456	IL7R	P16871	0.91	7.46	45	219
078_038_456	CRLF2	Q9HC73	0.279	21.98	45	209
078_038_456	IL4R	P24394	0.215	23.49	45	207
078_038_456	IL21R	Q9HBE5	0.206	22.95	45	213
078_038_456	IL2RA	P01589	0.096	28.91	45	219
078_038_456	IL15RA	Q13261	0.066	30.82	45	175
