receptor	af3_iptm	af3_iface_pae_min	esm_iptm
IL7Ra	0.68	2.67	0.91
IL15Ra	0.42	10.61	0.066
TSLPR	0.29	12.91	0.279
IL21R	0.24	11.76	0.206
IL4Ra	0.24	13.24	0.215
IL2Ra	0.19	13.56	0.096
