peptide_id	target_name	target_role	target_uniprot	iptm_best	iptm_mean	iptm_std	ptm_best	iface_pae_best	n_samples	sec	is_shuffled	shuffle_k	err
093_326_021	IL23R	receptor	Q5VWK5	0.204	0.163	0.04	0.652	27.23	5	5.0	0	-1	
093_326_021	EGFR	receptor	P00533	0.367	0.319	0.06	0.557	25.16	5	8.0	0	-1	
093_326_021	FPR1	receptor	P21462	0.223	0.203	0.025	0.703	25.33	5	3.8	0	-1	
093_326_021	FPR2	receptor	P25090	0.32	0.292	0.021	0.738	23.07	5	3.8	0	-1	
093_326_021	TLR2	receptor	O60603	0.3	0.251	0.046	0.831	24.8	5	7.5	0	-1	
093_326_021	IL10RA	receptor	Q13651	0.094	0.067	0.015	0.707	27.87	5	2.1	0	-1	
093_326_021	GLP1R	receptor	P43220	0.127	0.118	0.007	0.502	24.46	5	1.5	0	-1	
093_326_021	GPR35	receptor	Q9HC97	0.108	0.089	0.012	0.669	30.09	5	3.0	0	-1	
093_326_021	ITGA4	receptor	P13612	0.361	0.351	0.008	0.614	26.38	5	16.7	0	-1	
093_326_021	ITGB7	receptor	P26010	0.819	0.81	0.008	0.626	19.17	5	10.6	0	-1	
093_326_021	CCR6	receptor	P51684	0.128	0.108	0.019	0.607	28.85	5	4.1	0	-1	
093_326_021	TNFRSF1B	receptor	P20333	0.189	0.171	0.012	0.53	25.95	5	2.3	0	-1	
093_326_021	IL6R	receptor	P08887	0.187	0.166	0.017	0.646	27.45	5	3.7	0	-1	
093_326_021	CXCR4	receptor	P61073	0.19	0.176	0.01	0.666	26.71	5	3.7	0	-1	
093_326_021	IL7R	receptor	P16871	0.14	0.13	0.008	0.695	25.46	5	2.1	0	-1	
093_326_021	INSR	decoy	P06213	0.151	0.119	0.026	0.518	30.78	5	11.3	0	-1	
093_326_021	EPOR	decoy	P19235	0.124	0.105	0.01	0.71	27.11	5	2.3	0	-1	
093_326_021	GHR	decoy	P10912	0.159	0.136	0.024	0.623	27.01	5	2.4	0	-1	
093_326_021	LGR4	decoy	Q9BXB1	0.233	0.221	0.019	0.726	26.63	5	6.7	0	-1	
093_326_021	GCGR	decoy	P47871	0.139	0.13	0.007	0.494	22.99	5	1.4	0	-1	
093_326_021	PTHR1	decoy	Q03431	0.201	0.166	0.018	0.423	24.22	5	1.7	0	-1	
093_326_021	ADRB2	decoy	P07550	0.14	0.12	0.014	0.621	28.58	5	4.3	0	-1	
093_326_021	DRD2	decoy	P14416	0.125	0.113	0.01	0.527	29.29	5	4.8	0	-1	
093_326_021	ITGAV	decoy	P06756	0.389	0.331	0.061	0.641	25.85	5	17.9	0	-1	
093_326_021	ITGB3	decoy	P05106	0.205	0.19	0.012	0.602	28.54	5	10.4	0	-1	
093_558_421	IL23R	receptor	Q5VWK5	0.352	0.331	0.018	0.668	23.7	5	3.3	0	-1	
093_558_421	EGFR	receptor	P00533	0.25	0.226	0.029	0.554	27.87	5	8.2	0	-1	
093_558_421	FPR1	receptor	P21462	0.193	0.138	0.044	0.664	27.01	5	3.6	0	-1	
093_558_421	FPR2	receptor	P25090	0.294	0.279	0.021	0.729	23.45	5	3.4	0	-1	
093_558_421	TLR2	receptor	O60603	0.302	0.241	0.058	0.83	24.99	5	7.3	0	-1	
093_558_421	IL10RA	receptor	Q13651	0.153	0.102	0.027	0.732	26.79	5	2.2	0	-1	
093_558_421	GLP1R	receptor	P43220	0.415	0.393	0.018	0.637	16.01	5	1.4	0	-1	
093_558_421	GPR35	receptor	Q9HC97	0.101	0.09	0.011	0.661	28.88	5	2.9	0	-1	
093_558_421	ITGA4	receptor	P13612	0.219	0.19	0.03	0.605	29.03	5	15.2	0	-1	
093_558_421	ITGB7	receptor	P26010	0.241	0.191	0.056	0.585	28.41	5	10.5	0	-1	
093_558_421	CCR6	receptor	P51684	0.344	0.305	0.062	0.637	22.47	5	4.0	0	-1	
093_558_421	TNFRSF1B	receptor	P20333	0.322	0.205	0.063	0.553	23.33	5	2.2	0	-1	
093_558_421	IL6R	receptor	P08887	0.336	0.332	0.002	0.692	23.23	5	3.6	0	-1	
093_558_421	CXCR4	receptor	P61073	0.232	0.214	0.028	0.67	25.8	5	3.7	0	-1	
093_558_421	IL7R	receptor	P16871	0.254	0.226	0.027	0.736	23.01	5	2.0	0	-1	
093_558_421	INSR	decoy	P06213	0.627	0.608	0.012	0.552	22.44	5	11.1	0	-1	
093_558_421	EPOR	decoy	P19235	0.376	0.306	0.103	0.778	20.01	5	2.1	0	-1	
093_558_421	GHR	decoy	P10912	0.112	0.108	0.005	0.629	28.09	5	2.4	0	-1	
093_558_421	LGR4	decoy	Q9BXB1	0.228	0.215	0.009	0.733	26.14	5	6.4	0	-1	
093_558_421	GCGR	decoy	P47871	0.268	0.253	0.015	0.557	18.86	5	1.4	0	-1	
093_558_421	PTHR1	decoy	Q03431	0.334	0.298	0.049	0.493	21.04	5	1.6	0	-1	
093_558_421	ADRB2	decoy	P07550	0.203	0.139	0.043	0.636	27.58	5	4.4	0	-1	
093_558_421	DRD2	decoy	P14416	0.169	0.125	0.025	0.539	28.55	5	4.7	0	-1	
093_558_421	ITGAV	decoy	P06756	0.204	0.159	0.025	0.63	30.11	5	17.8	0	-1	
093_558_421	ITGB3	decoy	P05106	0.19	0.153	0.029	0.625	29.28	5	10.1	0	-1	
270_737_596	IL23R	receptor	Q5VWK5	0.217	0.177	0.028	0.682	25.93	5	3.1	0	-1	
